303.894	335.887	363.487	428.636	350.265	344.924	259.641	407.193	357.039	480.247	329.107	292.309	386.009	389.428	371.871	448.225	301.036	545.884	408.988	339.483	292.717	336.982	409.72	456.11	411.29	364.573	373.838	349.967	368.533	343.281	
279.043	335.887	363.487	428.636	350.265	343.586	259.641	400.058	357.039	401.91	198.666	292.309	293.686	377.634	371.871	411.067	301.036	429.256	408.988	339.483	292.717	336.982	361.094	456.11	411.29	278.287	373.838	268.897	368.533	343.281	
279.043	314.653	352.755	385.576	350.265	326.482	258.517	400.058	349.89	401.91	198.666	292.309	293.686	377.634	371.871	411.067	294.334	429.256	408.988	338.071	292.717	336.982	361.094	416.385	411.29	278.287	373.838	268.897	356.772	340.799	
276.496	258.217	352.755	335.373	327.706	326.482	254.523	400.058	349.89	399.46	198.666	291.758	293.686	320.153	309.615	380.639	294.334	385.813	394.599	305.564	292.717	336.982	361.094	353.849	406.35	278.287	373.838	268.897	356.772	338.091	
276.496	258.217	352.755	335.373	290.746	320.365	235.213	360.664	330.387	390.844	198.666	283.366	249.657	320.153	309.615	366.355	294.334	347.581	371.057	305.564	292.717	336.982	361.094	335.943	406.35	277.447	373.838	268.897	356.772	338.091	
275.901	258.217	267.318	310.116	266.889	265.187	221.928	290.763	245.301	372.317	193.005	283.366	246.153	296.2	306.182	258.308	294.334	331.446	371.057	301.646	292.717	323.845	338.814	335.943	346.66	277.447	372.724	268.897	302.703	303.696	
266.326	228.739	246.746	308.096	237.979	255.829	221.928	288.566	245.301	338.766	192.441	277.184	242.681	276.354	306.182	255.983	278.884	296.058	303.888	289.859	271.923	306.646	254.719	316.106	234.988	242.379	342.255	225.24	276.866	261.184	
234.618	215.277	230.509	256.713	233.571	232.105	220.968	271.371	241.815	243.614	189.824	263.708	240.922	244.725	290.558	253.224	256.452	254.571	292.813	272.195	263.897	254.225	243.88	267.405	218.8	242.379	247.648	223.489	255.199	245.539	
221.27	201.482	223.929	196.453	213.576	205.397	217.484	247.831	222.844	221.442	186.916	227.898	221.499	224.366	261.559	217.658	225.459	225.146	261.329	250.809	245.763	223.208	210.255	231.103	213.427	230.988	234.766	201.484	255.199	222.779	
192.158	190.11	208.315	185.932	206.374	191.722	203.214	206.599	192.652	200.82	179.64	203.705	203.641	211.962	219.578	192.89	203.876	196.384	218.498	217.155	229.251	206.291	190.401	211.249	195.493	211.698	185.749	189.876	219.735	195.699	
183.664	175.494	189.107	177.338	190.268	184.529	186.682	188.774	185.91	187.334	176.758	190.877	187.271	181.034	190.392	184.752	175.724	179.277	184.22	191.237	191.754	189.744	188.596	186.658	180.335	189.185	175.031	178.902	198.498	182.706	
173.429	174.459	174.24	171.696	171.219	172.467	171.954	175.254	173.582	173.106	173.169	176.521	176.318	175.436	176.995	173.068	173.724	172.843	173.902	179.211	181.355	172.711	174.765	180.333	170.598	173.192	171.27	172.166	173.202	170.906	
169.276	168.678	169.272	169.774	167.604	170.043	168.909	168.918	170.081	170.796	168.365	171.68	169.269	169.278	169.99	170.978	170.633	169.426	167.767	168.845	166.681	169.003	171.378	169.445	168.422	170.877	169.556	168.615	170.715	168.337	
164.765	166.218	165.902	166.516	167.313	166.86	166.135	167.285	166.934	167.39	166.25	167.305	167.726	165.933	165.881	168.514	167.87	165.38	166.754	167.047	165.908	166.892	168.143	167.952	166.039	167.28	166.558	164.981	168.317	166.945	
164.124	164.613	164.077	165.302	164.834	165.133	165.431	165.258	164.63	163.735	164.311	164.766	165.11	164.091	164.903	166.757	164.712	165.095	165.161	165.509	164.815	166.001	165.374	166.008	163.45	164.979	165.172	164.662	165.378	164.983	
163.715	162.836	162.7	163.876	163.925	163.878	163.715	164.974	164.419	163.189	163.478	163.516	164.958	163.876	163.896	165.402	163.478	164.638	164.931	164.987	164.01	162.7	163.925	164.595	162.7	164.757	164.987	164.622	164.638	164.922	
